14	8813	23
190	886	15
232	5708	4
155	179	28
4580	1872	11
106	1592	3
132	4556	22
106	817	1
1721	1297	22
734	7989	16
1888	9213	5
8158	910	3
5764	7952	10
101	1728	6
14	5990	18
104	1609	3
28310	2693	17
3673	7913	29
152	5973	3
104	8201	14
119	5147	6
18363	7875	18
101	1153	16
1139	5727	11
118	4032	7
106	8475	4
4213	2737	10
701	9386	11
3100	1978	23
9	5556	20
111	7968	22
112	5034	3
116	8942	1
105	9699	8
14737	7497	9
1548	9182	18
101	9898	1
127	8299	16
13	4277	22
1890	6761	36
104	2882	12
602	7532	21
57	9380	6
126	5161	3
120	7377	7
137	3030	16
101	2159	3
1729	8459	12
104	1516	29
2	7953	11
122	8373	2
411	7231	8
221	6476	19
213	2340	6
107	6875	2
12	7936	25
19615	2606	22
277	3325	4
964	1147	7
396	425	2
12	902	10
7	2712	10
23509	8466	7
14	3853	11
110	382	16
102	1893	7
889	135	0
3070	6411	1
206	6873	17
7	541	5
126	776	3
101	6272	1
218	7242	2
101	9325	1
103	3972	14
22434	7470	10
6065	6913	6
104	3745	2
107	8886	6
783	7381	16
108	2582	0
24873	8691	31
130	5350	0
31028	7997	17
612	55	15
12	3049	9
151	9915	16
5938	9769	20
1887	6202	12
102	2337	26
3579	298	4
104	490	15
14	7140	27
842	7473	7
1631	5722	2
102	7814	12
125	2370	16
15563	2876	21
123	9369	12
106	6641	2
6292	6424	12
153	7541	17
103	4172	27
1411	2451	1
9058	8440	9
4529	8386	9
103	4072	20
133	2975	5
285	1758	17
102	7233	12
113	322	17
14	7917	25
185	3592	23
105	7722	6
8	8978	19
130	5665	0
568	3229	1
101	2849	5
101	5698	10
121	5650	17
13123	6003	7
6437	4754	5
1302	7096	5
104	4357	13
122	2225	18
1785	6798	1
108	2257	0
220	1475	8
3313	5329	22
148	8843	16
101	5068	10
14	8705	13
14	5160	20
3302	5716	7
129	1581	6
634	7942	8
141	7946	9
108	3423	0
473	4102	20
851	5620	34
103	327	17
101	8298	7
299	2548	26
2499	1610	14
14	43	8
5605	3742	6
14183	1335	25
1935	505	11
102	6186	16
3634	6150	19
2998	6351	16
1545	4370	42
14	4162	28
14	748	8
107	732	1
1861	4570	15
28698	9148	33
102	1643	3
4862	6700	19
14	2088	17
495	1114	0
101	5473	2
768	1084	11
101	6542	5
1243	7439	7
115	3106	11
4557	733	5
102	513	11
147	3848	8
125	6351	12
384	6554	28
24170	8400	1
2091	898	18
103	7020	10
312	9781	12
166	3735	23
106	3489	6
109	9287	5
11750	6437	11
361	727	22
10708	6955	8
1369	7958	15
107	8173	2
109	6926	15
220	3001	3
21758	1478	9
132	6164	5
1494	8108	38
163	1166	4
106	5288	1
101	5783	4
12	2555	7
102	6398	10
172	778	8
4401	7645	5
110	3724	9
20466	5701	10
27774	2103	8
3491	1875	3
2497	1396	4
107	2571	2
303	1161	2
274	6021	4
58	1120	11
131	6390	21
2	1248	14
29207	4242	6
2	4033	11
1747	3038	25
183	7300	44
14	4877	33
101	1081	16
7	9132	8
103	5363	29
3135	9519	30
2455	4475	19
14	5691	14
27382	4234	7
125	694	27
940	9461	16
7	1608	15
106	905	1
2374	8880	18
101	83	24
14189	4827	14
162	4655	10
2837	8890	11
3134	8130	8
102	3194	20
107	1058	17
713	451	5
155	4352	22
103	6648	18
101	1080	4
1324	6514	1
4833	6184	3
107	8227	10
817	1976	10
400	3108	3
344	4468	29
331	9699	5
14	413	12
103	2613	12
1035	4476	2
112	1360	9
8015	7096	12
103	3024	16
8079	4065	7
106	4390	1
101	6200	1
200	7939	6
18852	7911	2
104	6321	4
5019	1902	2
787	3496	13
4493	3324	13
101	2576	3
101	3131	29
401	5669	4
105	1462	13
3833	446	2
1419	467	6
9234	8305	2
494	240	0
104	4148	11
317	4908	24
10564	3958	28
101	8277	5
105	2483	6
101	475	10
659	8361	30
158	6757	6
1080	2439	15
2451	2840	9
286	1839	7
1691	2469	22
101	9201	15
130	5214	0
109	4070	11
101	1108	30
14	8079	40
102	2621	16
198	4048	5
158	8930	14
9035	4196	7
108	2734	0
355	6573	1
4410	2309	8
110	3110	7
30752	645	12
108	2153	0
113	6422	10
6079	2097	5
4158	1222	23
1845	4456	28
152	324	17
291	7641	22
7	7659	6
112	9681	22
120	7975	1
9846	959	9
7	4356	1
4585	5937	27
3573	5125	4
101	7230	19
112	9210	8
683	3820	13
10187	3821	2
102	9791	18
122	3462	6
117	7226	7
102	7417	12
102	3445	4
111	6333	12
3348	3514	8
3353	9122	0
14	3644	13
9952	1089	8
159	2798	2
105	6904	14
8664	6985	32
22071	6185	20
7684	5288	30
2334	9831	1
2501	7958	10
31326	1446	10
8	8951	32
454	9948	2
1470	3062	11
101	7642	27
950	4655	8
31889	6450	29
1110	6422	17
23192	6431	23
12	5393	14
2154	5995	20
2	5510	10
105	6720	33
30019	4970	15
3123	6545	30
7742	2790	1
2042	5079	3
7655	8034	0
102	6867	6
5840	4205	7
103	603	27
1752	2847	8
17537	1776	10
163	1699	8
325	7184	14
291	1332	25
101	760	2
103	958	7
216	8053	28
5353	1618	12
2319	1663	1
1598	8945	10
142	8792	5
25168	450	3
580	7575	7
158	2573	6
102	6164	6
101	8725	7
153	4743	8
119	2476	19
